classKey,driverName,funcName
141.7176363435565,mpmath_fp_ei_arg1_DRIVER0,ei
141.7176363435565,scipy_special_expi_arg1_DRIVER0,expi
141.7176363435565,gsl_sf_expint_Ei_DRIVER,gsl_sf_expint_Ei
144.35441811959532,mpmath_elliprg_arg3_DRIVER0,elliprg
144.35441811959532,mpmath_fp_elliprg_arg3_DRIVER0,elliprg
148.65785911931076,scipy_special_kve_arg2_DRIVER0,kve
148.65785911931076,gsl_sf_bessel_Knu_scaled_DRIVER,gsl_sf_bessel_Knu_scaled
15.111133672476374,mpmath_acos_arg1_DRIVER0,acos
15.111133672476374,mpmath_fp_acos_arg1_DRIVER0,acos
15.111133672476374,jmat_acos_DRIVER0,acos
15.474737368165941,scipy_special_dawsn_arg1_DRIVER0,dawsn
15.474737368165941,gsl_sf_dawson_DRIVER,gsl_sf_dawson
152.7872911490985,mpmath_eulerpoly_arg2_DRIVER0,eulerpoly
152.7872911490985,mpmath_fp_eulerpoly_arg2_DRIVER0,eulerpoly
156.7872911490985,mpmath_bernpoly_arg2_DRIVER0,bernpoly
156.7872911490985,mpmath_fp_bernpoly_arg2_DRIVER0,bernpoly
16.30479286342156,mpmath_asin_arg1_DRIVER0,asin
16.30479286342156,mpmath_fp_asin_arg1_DRIVER0,asin
16.30479286342156,jmat_asin_DRIVER0,asin
16.31960355304582,scipy_special_k0_arg1_DRIVER0,k0
16.31960355304582,gsl_sf_bessel_K0_DRIVER,gsl_sf_bessel_K0
16.502813316129384,mpmath_erfinv_arg1_DRIVER0,erfinv
16.502813316129384,mpmath_fp_erfinv_arg1_DRIVER0,erfinv
16.502813316129384,scipy_special_erfinv_arg1_DRIVER0,erfinv
16.502813316129384,jmat_erf_inv_DRIVER0,erf_inv
16.54913432025295,mpmath_j1_arg1_DRIVER0,j1
16.54913432025295,mpmath_fp_j1_arg1_DRIVER0,j1
16.54913432025295,scipy_special_j1_arg1_DRIVER0,j1
16.54913432025295,gsl_sf_bessel_J1_DRIVER,gsl_sf_bessel_J1
161.90264917235865,mpmath_elliprj_arg4_DRIVER0,elliprj
161.90264917235865,gsl_sf_ellint_RJ_DRIVER,gsl_sf_ellint_RJ
17.391239421581275,scipy_special_i0e_arg1_DRIVER0,i0e
17.391239421581275,gsl_sf_bessel_I0_scaled_DRIVER,gsl_sf_bessel_I0_scaled
17.80047741915644,mpmath_sinpi_arg1_DRIVER0,sinpi
17.80047741915644,mpmath_fp_sinpi_arg1_DRIVER0,sinpi
17.80047741915644,gsl_sf_sin_pi_DRIVER,gsl_sf_sin_pi
175.92258026040383,gsl_sf_airy_Bi_deriv_DRIVER,gsl_sf_airy_Bi_deriv
175.92258026040383,jmat_bairy_deriv_DRIVER0,bairy_deriv
18.05969544710101,gsl_sf_hermite_func_DRIVER,gsl_sf_hermite_func
18.05969544710101,gsl_sf_hermite_func_fast_DRIVER,gsl_sf_hermite_func_fast
18.527198383926635,mpmath_expint_arg2_DRIVER1,expint
18.527198383926635,scipy_special_expn_arg2_DRIVER1,expn
18.527198383926635,gsl_sf_expint_En_DRIVER,gsl_sf_expint_En
18.700784064964118,mpmath_tan_arg1_DRIVER0,tan
18.700784064964118,mpmath_fp_tan_arg1_DRIVER0,tan
18.700784064964118,jmat_tan_DRIVER0,tan
19.955873904775213,mpmath_j0_arg1_DRIVER0,j0
19.955873904775213,mpmath_fp_j0_arg1_DRIVER0,j0
19.955873904775213,scipy_special_j0_arg1_DRIVER0,j0
19.955873904775213,gsl_sf_bessel_J0_DRIVER,gsl_sf_bessel_J0
197.81268071668734,mpmath_hypot_arg2_DRIVER0,hypot
197.81268071668734,gsl_sf_hypot_DRIVER,gsl_sf_hypot
20.61397350345797,mpmath_atanh_arg1_DRIVER0,atanh
20.61397350345797,jmat_atanh_DRIVER0,atanh
20.802342731110553,mpmath_sech_arg1_DRIVER0,sech
20.802342731110553,mpmath_fp_sech_arg1_DRIVER0,sech
200.0,mpmath_betainc_arg5_DRIVER4,betainc
200.0,mpmath_fp_betainc_arg5_DRIVER4,betainc
2005.2813374916268,mpmath_chebyu_arg2_DRIVER0,chebyu
2005.2813374916268,mpmath_fp_chebyu_arg2_DRIVER0,chebyu
206.71482550529595,mpmath_expm1_arg1_DRIVER0,expm1
206.71482550529595,mpmath_fp_expm1_arg1_DRIVER0,expm1
206.71482550529595,scipy_special_expm1_arg1_DRIVER0,expm1
206.71482550529595,gsl_sf_expm1_DRIVER,gsl_sf_expm1
21.08679732129974,mpmath_sec_arg1_DRIVER0,sec
21.08679732129974,mpmath_fp_sec_arg1_DRIVER0,sec
21.160216210363853,mpmath_asec_arg1_DRIVER0,asec
21.160216210363853,mpmath_fp_asec_arg1_DRIVER0,asec
214.84497503828678,mpmath_hyp1f1_arg3_DRIVER2,hyp1f1
214.84497503828678,mpmath_fp_hyp1f1_arg3_DRIVER2,hyp1f1
214.84497503828678,scipy_special_hyp1f1_arg3_DRIVER2,hyp1f1
214.84497503828678,gsl_sf_hyperg_1F1_int_DRIVER,gsl_sf_hyperg_1F1_int
214.84497503828678,jmat_hypergeometric1F1_DRIVER2,hypergeometric1F1
22.427116411821455,scipy_special_spherical_jn_arg2_DRIVER1,spherical_jn
22.427116411821455,gsl_sf_bessel_jl_DRIVER,gsl_sf_bessel_jl
23.96548133834835,mpmath_bei_arg2_DRIVER0,bei
23.96548133834835,mpmath_fp_bei_arg2_DRIVER0,bei
24.44048792293956,mpmath_besselj_arg2_DRIVER1,besselj
24.44048792293956,mpmath_fp_besselj_arg2_DRIVER1,besselj
24.44048792293956,scipy_special_jn_arg2_DRIVER1,jn
24.44048792293956,scipy_special_jv_arg2_DRIVER1,jv
24.44048792293956,scipy_special_jve_arg2_DRIVER1,jve
24.44048792293956,gsl_sf_bessel_Jn_DRIVER,gsl_sf_bessel_Jn
24.44048792293956,jmat_angerj_DRIVER1,angerj
24.639028399037784,mpmath_ellipe_arg1_DRIVER0,ellipe
24.639028399037784,scipy_special_ellipe_arg1_DRIVER0,ellipe
246.71482550529595,mpmath_exp_arg1_DRIVER0,exp
246.71482550529595,mpmath_fp_exp_arg1_DRIVER0,exp
246.71482550529595,gsl_sf_exp_DRIVER,gsl_sf_exp
25.651164447709647,mpmath_sinc_arg1_DRIVER0,sinc
25.651164447709647,mpmath_fp_sinc_arg1_DRIVER0,sinc
25.651164447709647,gsl_sf_bessel_j0_DRIVER,gsl_sf_bessel_j0
25.651164447709647,jmat_sinc_DRIVER0,sinc
2525.7600811091165,gsl_sf_hermite_deriv_DRIVER,gsl_sf_hermite_deriv
2525.7600811091165,gsl_sf_hermite_phys_der_DRIVER,gsl_sf_hermite_phys_der
255.29285520557255,mpmath_besseljzero_arg2_DRIVER1,besseljzero
255.29285520557255,mpmath_fp_besseljzero_arg2_DRIVER1,besseljzero
255.29285520557255,gsl_sf_bessel_zero_Jnu_DRIVER,gsl_sf_bessel_zero_Jnu
26.235596191343813,mpmath_besselj_arg2_DRIVER0,besselj
26.235596191343813,mpmath_fp_besselj_arg2_DRIVER0,besselj
26.235596191343813,scipy_special_jn_arg2_DRIVER0,jn
26.235596191343813,scipy_special_jv_arg2_DRIVER0,jv
26.235596191343813,scipy_special_jve_arg2_DRIVER0,jve
26.235596191343813,gsl_sf_bessel_Jnu_DRIVER,gsl_sf_bessel_Jnu
26.235596191343813,jmat_besselj_DRIVER0,besselj
26.49285730153445,mpmath_sin_arg1_DRIVER0,sin
26.49285730153445,mpmath_fp_sin_arg1_DRIVER0,sin
26.49285730153445,gsl_sf_sin_DRIVER,gsl_sf_sin
26.49285730153445,jmat_sin_DRIVER0,sin
26.563233374353654,scipy_special_k1_arg1_DRIVER0,k1
26.563233374353654,gsl_sf_bessel_K1_DRIVER,gsl_sf_bessel_K1
26.565166285200075,mpmath_lambertw_arg1_DRIVER0,lambertw
26.565166285200075,mpmath_fp_lambertw_arg1_DRIVER0,lambertw
26.565166285200075,gsl_sf_lambert_W0_DRIVER,gsl_sf_lambert_W0
266.1462937016295,mpmath_fadd_arg2_DRIVER0,fadd
266.1462937016295,mpmath_fp_fadd_arg2_DRIVER0,fadd
267.42773022920846,mpmath_whitm_arg3_DRIVER0,whitm
267.42773022920846,mpmath_fp_whitm_arg3_DRIVER0,whitm
27.60927238271261,mpmath_acosh_arg1_DRIVER0,acosh
27.60927238271261,jmat_acosh_DRIVER0,acosh
27.672243370095288,scipy_special_gammaincc_arg2_DRIVER0,gammaincc
27.672243370095288,gsl_sf_gamma_inc_Q_DRIVER,gsl_sf_gamma_inc_Q
27.672243370095288,jmat_gamma_q_DRIVER0,gamma_q
277.9439994014186,mpmath_hyperu_arg3_DRIVER0,hyperu
277.9439994014186,mpmath_fp_hyperu_arg3_DRIVER0,hyperu
277.9439994014186,scipy_special_hyperu_arg3_DRIVER0,hyperu
277.9439994014186,gsl_sf_hyperg_U_DRIVER,gsl_sf_hyperg_U
28.36401963201973,mpmath_acot_arg1_DRIVER0,acot
28.36401963201973,mpmath_fp_acot_arg1_DRIVER0,acot
280.9881632788657,mpmath_powm1_arg2_DRIVER0,powm1
280.9881632788657,mpmath_fp_powm1_arg2_DRIVER0,powm1
29.525138299109987,mpmath_altzeta_arg1_DRIVER0,altzeta
29.525138299109987,mpmath_fp_altzeta_arg1_DRIVER0,altzeta
29.525138299109987,gsl_sf_eta_DRIVER,gsl_sf_eta
29.525138299109987,jmat_eta_DRIVER0,eta
29.566553530894094,mpmath_laguerre_arg3_DRIVER1,laguerre
29.566553530894094,mpmath_fp_laguerre_arg3_DRIVER1,laguerre
29.566553530894094,scipy_special_eval_genlaguerre_arg3_DRIVER1,eval_genlaguerre
29.566553530894094,gsl_sf_laguerre_n_DRIVER,gsl_sf_laguerre_n
3.1251696623446845,mpmath_log10_arg1_DRIVER0,log10
3.1251696623446845,mpmath_fp_log10_arg1_DRIVER0,log10
30.986635485478068,mpmath_tanh_arg1_DRIVER0,tanh
30.986635485478068,mpmath_fp_tanh_arg1_DRIVER0,tanh
30.986635485478068,jmat_tanh_DRIVER0,tanh
31.138356157736567,scipy_special_expit_arg1_DRIVER0,expit
31.138356157736567,gsl_sf_fermi_dirac_m1_DRIVER,gsl_sf_fermi_dirac_m1
32.046432210904406,mpmath_struveh_arg2_DRIVER0,struveh
32.046432210904406,mpmath_fp_struveh_arg2_DRIVER0,struveh
32.046432210904406,scipy_special_struve_arg2_DRIVER0,struve
32.046432210904406,jmat_struveh_DRIVER0,struveh
32.16187309134212,mpmath_rgamma_arg1_DRIVER0,rgamma
32.16187309134212,mpmath_fp_rgamma_arg1_DRIVER0,rgamma
32.16187309134212,scipy_special_rgamma_arg1_DRIVER0,rgamma
32.16187309134212,gsl_sf_gammainv_DRIVER,gsl_sf_gammainv
32.950420412885165,mpmath_erf_arg1_DRIVER0,erf
32.950420412885165,mpmath_fp_erf_arg1_DRIVER0,erf
32.950420412885165,scipy_special_erf_arg1_DRIVER0,erf
32.950420412885165,gsl_sf_erf_DRIVER,gsl_sf_erf
32.950420412885165,jmat_erf_DRIVER0,erf
33.47250072229806,mpmath_log1p_arg1_DRIVER0,log1p
33.47250072229806,mpmath_fp_log1p_arg1_DRIVER0,log1p
33.47250072229806,scipy_special_log1p_arg1_DRIVER0,log1p
33.47250072229806,gsl_sf_log_1plusx_DRIVER,gsl_sf_log_1plusx
33.78243817757354,mpmath_gammainc_arg2_DRIVER0,gammainc
33.78243817757354,mpmath_fp_gammainc_arg2_DRIVER0,gammainc
33.78243817757354,gsl_sf_gamma_inc_DRIVER,gsl_sf_gamma_inc
33.78243817757354,jmat_incgamma_upper_DRIVER0,incgamma_upper
34.235428482576026,mpmath_csch_arg1_DRIVER0,csch
34.235428482576026,mpmath_fp_csch_arg1_DRIVER0,csch
34.46783343977613,mpmath_atan_arg1_DRIVER0,atan
34.46783343977613,mpmath_fp_atan_arg1_DRIVER0,atan
34.46783343977613,jmat_atan_DRIVER0,atan
34.47680083292498,scipy_special_zeta_arg2_DRIVER0,zeta
34.47680083292498,gsl_sf_hzeta_DRIVER,gsl_sf_hzeta
34.54401955892892,mpmath_ncdf_arg1_DRIVER0,ncdf
34.54401955892892,mpmath_fp_ncdf_arg1_DRIVER0,ncdf
34.54401955892892,scipy_special_ndtr_arg1_DRIVER0,ndtr
34.54401955892892,jmat_cdf_standardnormal_DRIVER0,cdf_standardnormal
347.12008190247906,mpmath_besselyzero_arg2_DRIVER0,besselyzero
347.12008190247906,mpmath_fp_besselyzero_arg2_DRIVER0,besselyzero
35.45038206523479,jmat_beta_i_DRIVER0,beta_i
35.45038206523479,jmat_cdf_beta_DRIVER0,cdf_beta
35.45306942668835,mpmath_barnesg_arg1_DRIVER0,barnesg
35.45306942668835,mpmath_fp_barnesg_arg1_DRIVER0,barnesg
360.9881632788657,mpmath_power_arg2_DRIVER0,power
360.9881632788657,mpmath_fp_power_arg2_DRIVER0,power
363.5252906464351,jmat_lerchphi_DRIVER0,lerchphi
363.5252906464351,jmat_lerchphi2_DRIVER0,lerchphi2
364.0940679702318,mpmath_hyp0f1_arg2_DRIVER0,hyp0f1
364.0940679702318,mpmath_fp_hyp0f1_arg2_DRIVER0,hyp0f1
364.0940679702318,scipy_special_hyp0f1_arg2_DRIVER0,hyp0f1
364.0940679702318,gsl_sf_hyperg_0F1_DRIVER,gsl_sf_hyperg_0F1
364.0940679702318,jmat_hypergeometric0F1_DRIVER0,hypergeometric0F1
38.93309596414457,jmat_beta_i_inv_DRIVER0,beta_i_inv
38.93309596414457,jmat_qf_beta_DRIVER0,qf_beta
391.92828844796645,gsl_sf_hermite_prob_deriv_DRIVER,gsl_sf_hermite_prob_deriv
391.92828844796645,gsl_sf_hermite_prob_der_DRIVER,gsl_sf_hermite_prob_der
39650.31404030843,mpmath_whitw_arg3_DRIVER0,whitw
39650.31404030843,mpmath_fp_whitw_arg3_DRIVER0,whitw
398.50757002579496,mpmath_hyperfac_arg1_DRIVER0,hyperfac
398.50757002579496,mpmath_fp_hyperfac_arg1_DRIVER0,hyperfac
4.516600385006437,mpmath_airyai_arg1_DRIVER0,airyai
4.516600385006437,mpmath_fp_airyai_arg1_DRIVER0,airyai
4.516600385006437,gsl_sf_airy_Ai_DRIVER,gsl_sf_airy_Ai
4.516600385006437,jmat_airy_DRIVER0,airy
4.5660259727949954,scipy_special_y0_arg1_DRIVER0,y0
4.5660259727949954,gsl_sf_bessel_Y0_DRIVER,gsl_sf_bessel_Y0
4.627456201317438,mpmath_cos_arg1_DRIVER0,cos
4.627456201317438,mpmath_fp_cos_arg1_DRIVER0,cos
4.627456201317438,gsl_sf_cos_DRIVER,gsl_sf_cos
4.627456201317438,jmat_cos_DRIVER0,cos
4170.036364971203,mpmath_erfi_arg1_DRIVER0,erfi
4170.036364971203,mpmath_fp_erfi_arg1_DRIVER0,erfi
4170.036364971203,jmat_erfi_DRIVER0,erfi
42.05428012537753,mpmath_fibonacci_arg1_DRIVER0,fibonacci
42.05428012537753,mpmath_fib_arg1_DRIVER0,fib
43.0626614964135,mpmath_asinh_arg1_DRIVER0,asinh
43.0626614964135,jmat_asinh_DRIVER0,asinh
43.44087425676622,mpmath_cbrt_arg1_DRIVER0,cbrt
43.44087425676622,mpmath_fp_cbrt_arg1_DRIVER0,cbrt
43.44087425676622,scipy_special_cbrt_arg1_DRIVER0,cbrt
43.63868271287627,scipy_special_k0e_arg1_DRIVER0,k0e
43.63868271287627,gsl_sf_bessel_K0_scaled_DRIVER,gsl_sf_bessel_K0_scaled
44.26477207382107,mpmath_besselk_arg2_DRIVER0,besselk
44.26477207382107,mpmath_fp_besselk_arg2_DRIVER0,besselk
44.26477207382107,scipy_special_kv_arg2_DRIVER0,kv
44.26477207382107,gsl_sf_bessel_Knu_DRIVER,gsl_sf_bessel_Knu
44.26477207382107,jmat_besselk_DRIVER0,besselk
44.765963086500335,mpmath_ellipk_arg1_DRIVER0,ellipk
44.765963086500335,scipy_special_ellipk_arg1_DRIVER0,ellipk
46.020583851538525,mpmath_sqrt_arg1_DRIVER0,sqrt
46.020583851538525,mpmath_fp_sqrt_arg1_DRIVER0,sqrt
46.11954585396691,mpmath_si_arg1_DRIVER0,si
46.11954585396691,mpmath_fp_si_arg1_DRIVER0,si
46.11954585396691,gsl_sf_Si_DRIVER,gsl_sf_Si
46.62757102745607,mpmath_harmonic_arg1_DRIVER0,harmonic
46.62757102745607,mpmath_fp_harmonic_arg1_DRIVER0,harmonic
